,그룹,delivery_method,라이더 수 ,percentage,수행 건 수 ,,1인당 수행 건수
1,그룹1,BIKE,"4,735 ",57.14,"81,263 ",74.44,17.16 
2,group_1,CAR,752 ,9.08,"3,208 ",2.94,4.27 
3,group_1,GENERAL_BICYCLES,476 ,5.74,"3,821 ",3.5,8.03 
4,group_1,KICKBOARD,173 ,2.09,"1,304 ",1.19,7.54 
5,group_1,PAS_BICYCLES,976 ,11.78,"9,855 ",9.03,10.10 
6,group_1,THROTTLE_BICYCLES,435 ,5.25,"5,206 ",4.77,11.97 
7,group_1,WALK,739 ,8.92,"4,508 ",4.13,6.10 
,,,"8,286 ",100 ,"109,165 ",100 ,13.17 
8,그룹 2,BIKE,"5,389 ",58.14,"110,487 ",78.93,20.50 
9,group_2,CAR,"1,235 ",13.32,"8,808 ",6.29,7.13 
10,group_2,GENERAL_BICYCLES,390 ,4.21,"2,611 ",1.87,6.69 
11,group_2,KICKBOARD,130 ,1.4,822 ,0.59,6.32 
12,group_2,PAS_BICYCLES,920 ,9.93,"8,069 ",5.76,8.77 
13,group_2,THROTTLE_BICYCLES,397 ,4.28,"3,226 ",2.3,8.13 
14,group_2,WALK,808 ,8.72,"5,953 ",4.25,7.37 
,,,"9,269 ",100 ,"139,976 ",100 ,15.10 
15,그룹 3,BIKE,"34,280 ",74.42,"4,675,594 ",86.97,136.39 
16,group_3,CAR,"2,803 ",6.09,"104,103 ",1.94,37.14 
17,group_3,GENERAL_BICYCLES,"1,126 ",2.44,"58,728 ",1.09,52.16 
18,group_3,KICKBOARD,348 ,0.76,"20,243 ",0.38,58.17 
19,group_3,PAS_BICYCLES,"3,045 ",6.61,"220,357 ",4.1,72.37 
20,group_3,THROTTLE_BICYCLES,"1,704 ",3.7,"137,187 ",2.55,80.51 
21,group_3,WALK,"2,758 ",5.99,"159,847 ",2.97,57.96 
,,,"46,064 ",100 ,"5,376,059 ",100 ,116.71 