,그룹,signup_group,count,percentage
,,1 week,647,7.81
1,그룹1,1 month,580,7
3,,2 month,523,6.31
4,,3 month,429,5.18
5,,6 month,802,9.68
6,,More than 6 months,5305,64.02
,,,8286,100
,,1 week,1223,13.19 
8,그룹 2,1 month,409,4.41 
9,,2 month,386,4.16 
10,,3 month,391,4.22 
11,,6 month,877,9.46 
12,,More than 6 months,5983,64.55 
,,,9269,100.00 
,,1 week,1462,3.17
14,그룹 3,1 month,1860,4.04
15,,2 month,2002,4.35
16,,3 month,1862,4.04
17,,6 month,3747,8.13
18,,More than 6 months,35131,76.27
,,,46064,100